Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-56.63361,1.38343,210.8579,-35.50997,-0.000149653,-49.0006,0.1852349,221.909,0.003650588,35.04475,100,43.27444,38.40592,65.71756,85.10617,20.42616,17.81182,7,1,0
-57.34885,1.38343,209.8768,-35.76222,-5.86462E-05,-49.0555,0.1852315,221.8967,0.003703662,34.08335,100,43.80481,38.96108,66.78621,86.08974,19.76449,17.28451,7,1,0
-58.06902,1.38343,208.8946,-36.00873,2.6052E-05,-49.10995,0.1852412,221.8843,0.00375617,33.11149,100,44.34025,39.52111,67.86334,87.07439,19.11077,16.75238,7,1,0
-58.79006,1.390162,207.9106,-36.25032,0.3347941,-49.16475,0.0743371,221.8739,0.1752367,32.13568,100,44.87704,40.08144,68.93892,88.06081,18.46513,16.2195,7,1,0
-59.50955,1.404524,206.9247,-36.48391,0.7167672,-49.21902,359.7867,221.8655,0.6127012,31.16324,100,45.41569,40.64169,70.00986,89.04935,17.82362,15.68922,7,1,0
-60.22578,1.413291,205.9478,-36.24208,0.4412438,-48.74333,359.5731,221.8576,1.009096,30.19809,100,45.94151,41.20234,71.07705,90.02924,17.18553,15.1706,7,1,0
-60.93673,1.413905,204.9856,-35.76846,0.03384184,-48.01527,359.491,221.9435,1.239041,29.14198,100,46.49986,41.74155,71.98602,90.98654,16.58035,14.65032,7,1,0
-61.65178,1.428936,204.0269,-35.68076,0.7511903,-47.89198,359.5734,222.1221,1.216797,27.99288,100,47.09895,42.25401,72.74657,90.23441,15.98904,14.11811,7,1,0
-62.36771,1.441136,203.0735,-35.67796,0.6083495,-47.71377,359.6177,222.3579,1.097552,26.80204,100,47.72701,42.75733,73.40317,84.35091,15.40254,13.58114,7,1,0
-63.06923,1.441566,202.1393,-34.98116,0.02037722,-46.74421,359.6536,222.5465,1.002289,25.68975,100,48.3162,43.25801,74.1068,78.49861,14.81857,13.05896,7,1,-1
