Position_X,Position_Y,Position_Z,Velocity_X,Velocity_Y,Velocity_Z,Rotation_X,Rotation_Y,Rotation_Z,Raycast_1,Raycast_2,Raycast_3,Raycast_4,Raycast_5,Raycast_6,Raycast_7,Raycast_8,Score,Pedal,Steering
-75.75096,1.387639,6.893796,0.1902738,1.285076E-05,-43.94585,0.1825589,183.7644,0.3344183,10.82756,14.1805,33.53352,13.3751,100,32.21088,21.27791,28.23382,0,1,0.7195798
-75.74903,1.38763,6.004263,0.07878184,-0.0004588306,-44.4759,0.1817223,184.6239,0.3613205,10.62757,14.3241,33.56857,12.96468,100,32.77854,21.30332,27.87311,0,1,0.7580402
-75.74988,1.387622,5.104372,-0.05414457,-0.0004026377,-44.99335,0.1811308,185.5525,0.3837656,10.42789,14.36178,33.61797,12.74178,100,33.41864,21.33328,27.4967,0,1,0.8234814
-75.75313,1.387701,4.201735,-0.179037,0.003824562,-45.14642,0.1632827,186.6511,0.4103453,10.23835,14.44649,33.69032,12.47784,100,34.21727,21.37384,27.07049,0,1,0.8902215
-75.75922,1.387806,3.296199,-0.324704,0.005068866,-45.29325,0.1418825,187.9071,0.441473,10.05982,14.58035,33.79107,12.11944,100,35.19106,21.4277,26.60778,0,1,0.8333578
-75.76917,1.387881,2.387748,-0.4943353,0.003669477,-45.43284,0.1291777,189.2708,0.4503236,9.892267,57.33309,33.92289,11.76611,100,36.32842,21.49482,26.13247,0,1,0.7702074
-75.78485,1.38784,1.469206,-0.7415863,-0.001934857,-45.91324,0.1478461,190.6082,0.4241129,100,59.29983,34.07774,12.02669,100,37.52927,21.56688,25.68877,0,1,0.7129948
-75.80535,1.38772,0.5485777,-0.9611101,-0.005947508,-46.02929,0.1609845,191.9985,0.3749982,100,61.53507,34.26418,12.7662,100,38.88243,21.65065,25.25181,0,1,0.6620216
-75.83227,1.387591,-0.3811904,-1.273316,-0.006235949,-46.48248,0.1825583,193.3228,0.3184993,100,63.87414,34.47001,13.5432,100,40.27679,21.73557,24.85319,0,1,0.5987297
-75.86584,1.387522,-1.31955,-1.614012,-0.003239969,-46.91809,0.199049,194.5741,0.2683385,100,66.29974,34.69203,38.93811,100,41.69818,21.819,24.4895,0,1,0.5350996
-75.90641,1.387525,-2.266068,-1.979804,0.0002480197,-47.33628,0.2033063,195.7466,0.2311146,100,68.79074,34.92698,38.5301,100,43.12963,21.89811,24.15715,0,1,0.4792633
-75.95439,1.387578,-3.220453,-2.367491,0.002614955,-47.7373,0.1966739,196.8382,0.2074305,100,71.10814,35.17211,38.18454,100,44.55491,21.97023,23.85195,0,1,0.4013012
-76.01038,1.387646,-4.182456,-2.77404,0.003344235,-48.12154,0.1859109,197.8401,0.1872457,100,73.27051,35.42344,37.89907,100,45.94382,22.03167,23.57139,0,1,0.3570522
-76.07478,1.387696,-5.151881,-3.196533,0.002461622,-48.48962,0.1779503,198.7558,0.1689829,66.11127,75.15691,11.82976,37.66737,100,47.28161,22.0804,23.31084,0,1,0.2930353
-76.14797,1.387707,-6.128449,-3.631954,0.0005538678,-48.84239,0.1761961,199.582,0.1466248,62.26115,76.63715,9.646132,37.48637,100,48.54072,22.11366,23.06763,0,1,0.2319758
-76.2302,1.387678,-7.111843,-4.077492,-0.001302016,-49.18084,0.1797946,200.3167,0.1182841,59.76945,78.02195,9.607535,37.35284,100,49.69416,22.12913,22.83927,0,1,0.1807901
-76.32153,1.387634,-8.101756,-4.530322,-0.002035911,-49.50606,0.185328,200.9619,0.08725119,57.7538,78.95058,9.575111,37.26287,97.18974,50.72121,22.12537,22.62313,0,1,0.1182838
-76.422,1.387602,-9.097893,-4.987698,-0.001366503,-49.81917,0.1893693,201.5151,0.05465652,56.06257,79.70139,9.548434,37.21436,94.475,51.59385,22.10055,22.41761,0,1,0.04573046
-76.53168,1.387601,-10.1,-5.44768,0.0001087642,-50.12104,0.1902785,201.9715,0.01987457,54.6608,80.31119,9.526947,37.20636,92.51089,52.27871,22.05262,22.22183,0,1,0
-76.65048,1.387623,-11.10791,-5.910275,0.001259784,-50.4118,0.1884907,202.3356,359.989,53.50154,80.71901,9.510418,37.23563,91.09252,52.76505,21.98133,22.03367,0,1,0
-76.77824,1.38765,-12.12154,-6.372882,0.001421411,-50.69263,0.1856675,202.6259,359.9742,52.51852,80.84093,9.499162,37.29568,90.12498,53.07812,21.88906,21.84929,0,1,0
-76.91486,1.387665,-13.14077,-6.83328,0.000669291,-50.96464,0.1835002,202.8568,359.9773,51.66408,80.88242,9.47717,37.38169,89.46957,53.24102,21.77781,21.66577,0,1,0
-77.06042,1.387661,-14.16541,-7.289954,-0.0003248906,-51.22868,0.1828707,203.0402,359.9917,50.9031,80.85989,9.443208,37.4902,89.04346,53.27408,21.64915,21.48074,0,1,0
-77.215,1.387645,-15.19523,-7.741837,-0.0008433604,-51.48543,0.1836396,203.1853,0.007698472,50.20943,80.78706,9.416041,37.61857,88.81763,53.19488,21.5044,21.2924,0,1,0
-77.37861,1.387633,-16.23002,-8.188089,-0.0006120467,-51.73547,0.1850039,203.2994,0.01778382,49.56339,6.255189,9.396729,37.76476,88.76456,53.01859,21.34467,21.09938,0,1,0
-77.55117,1.387632,-17.26962,-8.627973,-8.031726E-05,-51.97932,0.1860814,203.3887,0.01913135,48.95014,6.018914,9.400244,37.92702,88.82977,52.75843,21.17101,20.90073,0,1,0
-77.7325,1.387636,-18.31392,-9.060821,0.000228802,-52.21747,0.18639,203.4579,0.01357757,48.35838,5.783688,9.489036,38.10386,88.99311,52.42597,20.98442,20.69581,0,1,-0.03357463
-77.92249,1.38764,-19.36279,-9.486073,0.0002761161,-52.45033,0.1859928,203.5002,-0.001526925,47.79973,5.5497,9.602559,38.29698,89.27949,52.0059,20.78399,20.48558,0,1,-0.1057788
-78.1211,1.38764,-20.41611,-9.903248,0.0001948643,-52.67831,0.1852931,203.4979,359.968,47.30598,5.317518,9.644375,38.51107,89.75637,51.45887,20.56708,20.27245,0,1,-0.1758419
-78.32809,1.387639,-21.47382,-10.31158,0.0002098179,-52.90194,0.1847038,203.4375,359.9253,46.95288,5.087365,9.69136,38.7497,90.47784,50.75851,20.3321,20.05835,0,1,-0.2251875
-78.54305,1.38764,-22.53594,-10.70979,0.0003245985,-53.12199,0.1844215,203.3148,359.8821,46.7574,4.859002,9.742918,39.01399,91.46643,49.90359,20.07927,19.84408,0,1,-0.2756045
-78.76559,1.387639,-23.60249,-11.09639,0.000285579,-53.33932,0.1843921,203.1263,359.8468,46.87729,4.632176,9.798509,39.30518,92.74848,48.89716,19.809,19.63041,0,1,-0.3384051
-78.99545,1.387637,-24.67344,-11.46994,0.0001484847,-53.55474,0.1844325,202.865,359.8195,47.83115,4.406794,9.857634,39.62591,94.37119,47.73849,19.52127,19.41849,0,1,-0.3977979
